docs_verify.py _CHECK is matched per LINE, so a multi-line check parses as zero.
Census taken on lane/d-seam at HEAD 25a3a0687 + this tranche.

document                                    written  parsed  NEVER RUN
CON-authority.md                                 28      27          1
CON-criticism-source.md                          13      12          1
CON-discharge-channel.md                         21      20          1
CON-packs-and-token-economy.md                   39      37          2
CON-problem-layer-lifecycle.md                   19      17          2
CON-scheduler-ranking.md                         13       9          4
CON-seats.md                                     12      11          1
CON-standing-and-background.md                   20      19          1
INV-axiom-basis.md                               43      35          8
INV-evidence-channels.md                         10       5          5
INV-frozen-surfaces.md                           48      38         10
INV-render-layout.md                             11       4          7
INV-signal-contract.md                           27      24          3
REC-revise-allocation-policy.md                   4       3          1
SCHEMA.md                                         2       1          1
SEAM-evaluation-x-rules.md                       23      20          3
SEAM-llm-x-rules.md                              20      18          2
SEAM-llm-x-scheduler.md                           5       4          1
SEAM-llm-x-verification.md                        4       1          3
SUB-calculus.md                                  35      29          6
SUB-capabilities.md                              18      17          1
SUB-evidence.md                                   7       6          1
SUB-manifest.md                                  19      18          1
SUB-ontology.md                                  17      15          2
SUB-periphery.md                                 19      18          1
SUB-scheduler.md                                 23      22          1
SUB-verification.md                              31      29          2

documents affected: 27 | check lines that never run: 72

This tranche SEAM-capabilities-x-channels.md: written 10 parsed 10 (all single-line)
